,Quarter,HB,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,Date,Pandemic,PopSize,Pandemic_cat,JustPandemic,PandemicRecovery
46,2012Q1,S08000020,Melanoma,52,52,0.0,0.0,573400.0,0.0,0.0,0.0
47,2012Q1,S08000020,Ovarian,18,18,0.0,0.0,573400.0,0.0,0.0,0.0
48,2012Q1,S08000020,Upper GI,110,108,0.0,0.0,573400.0,0.0,0.0,0.0
49,2012Q1,S08000020,Urological,234,214,0.0,0.0,573400.0,0.0,0.0,0.0
50,2012Q1,S08000022,Breast,118,118,0.0,0.0,319800.0,0.0,0.0,0.0
51,2012Q1,S08000022,Cervical,6,6,0.0,0.0,319800.0,0.0,0.0,0.0
52,2012Q1,S08000022,Colorectal,76,72,0.0,0.0,319800.0,0.0,0.0,0.0
53,2012Q1,S08000022,Head & Neck,28,26,0.0,0.0,319800.0,0.0,0.0,0.0
54,2012Q1,S08000022,Lung,96,96,0.0,0.0,319800.0,0.0,0.0,0.0
55,2012Q1,S08000022,Lymphoma,30,30,0.0,0.0,319800.0,0.0,0.0,0.0
56,2012Q1,S08000022,Melanoma,30,30,0.0,0.0,319800.0,0.0,0.0,0.0
57,2012Q1,S08000022,Ovarian,10,10,0.0,0.0,319800.0,0.0,0.0,0.0
58,2012Q1,S08000022,Upper GI,74,74,0.0,0.0,319800.0,0.0,0.0,0.0
59,2012Q1,S08000022,Urological,110,104,0.0,0.0,319800.0,0.0,0.0,0.0
60,2012Q1,S08000024,Breast,436,436,0.0,0.0,843740.0,0.0,0.0,0.0
61,2012Q1,S08000024,Cervical,12,12,0.0,0.0,843740.0,0.0,0.0,0.0
62,2012Q1,S08000024,Colorectal,278,268,0.0,0.0,843740.0,0.0,0.0,0.0
63,2012Q1,S08000024,Head & Neck,82,82,0.0,0.0,843740.0,0.0,0.0,0.0
64,2012Q1,S08000024,Lung,350,350,0.0,0.0,843740.0,0.0,0.0,0.0
65,2012Q1,S08000024,Lymphoma,68,68,0.0,0.0,843740.0,0.0,0.0,0.0
66,2012Q1,S08000024,Melanoma,100,100,0.0,0.0,843740.0,0.0,0.0,0.0
67,2012Q1,S08000024,Ovarian,42,38,0.0,0.0,843740.0,0.0,0.0,0.0
68,2012Q1,S08000024,Upper GI,102,102,0.0,0.0,843740.0,0.0,0.0,0.0
69,2012Q1,S08000024,Urological,396,388,0.0,0.0,843740.0,0.0,0.0,0.0
70,2012Q1,S08000025,Breast,2,2,0.0,0.0,21530.0,0.0,0.0,0.0
71,2012Q1,S08000025,Colorectal,8,8,0.0,0.0,21530.0,0.0,0.0,0.0
72,2012Q1,S08000025,Head & Neck,2,2,0.0,0.0,21530.0,0.0,0.0,0.0
73,2012Q1,S08000025,Upper GI,4,4,0.0,0.0,21530.0,0.0,0.0,0.0
74,2012Q1,S08000025,Urological,4,4,0.0,0.0,21530.0,0.0,0.0,0.0
75,2012Q1,S08000026,Breast,4,4,0.0,0.0,23210.0,0.0,0.0,0.0
76,2012Q1,S08000026,Colorectal,14,14,0.0,0.0,23210.0,0.0,0.0,0.0
77,2012Q1,S08000026,Head & Neck,2,2,0.0,0.0,23210.0,0.0,0.0,0.0
78,2012Q1,S08000026,Lung,10,10,0.0,0.0,23210.0,0.0,0.0,0.0
79,2012Q1,S08000026,Lymphoma,6,6,0.0,0.0,23210.0,0.0,0.0,0.0
80,2012Q1,S08000026,Melanoma,2,2,0.0,0.0,23210.0,0.0,0.0,0.0
81,2012Q1,S08000026,Upper GI,4,4,0.0,0.0,23210.0,0.0,0.0,0.0
82,2012Q1,S08000026,Urological,18,18,0.0,0.0,23210.0,0.0,0.0,0.0
83,2012Q1,S08000028,Colorectal,14,14,0.0,0.0,27560.0,0.0,0.0,0.0
84,2012Q1,S08000028,Head & Neck,8,8,0.0,0.0,27560.0,0.0,0.0,0.0
85,2012Q1,S08000028,Lung,14,14,0.0,0.0,27560.0,0.0,0.0,0.0
86,2012Q1,S08000028,Melanoma,2,2,0.0,0.0,27560.0,0.0,0.0,0.0
87,2012Q1,S08000028,Upper GI,8,8,0.0,0.0,27560.0,0.0,0.0,0.0
88,2012Q1,S08000028,Urological,6,6,0.0,0.0,27560.0,0.0,0.0,0.0
89,2012Q1,S08000029,Breast,90,90,0.0,0.0,366210.0,0.0,0.0,0.0
90,2012Q1,S08000029,Cervical,6,6,0.0,0.0,366210.0,0.0,0.0,0.0
91,2012Q1,S08000029,Colorectal,92,92,0.0,0.0,366210.0,0.0,0.0,0.0
92,2012Q1,S08000029,Head & Neck,48,46,0.0,0.0,366210.0,0.0,0.0,0.0
93,2012Q1,S08000029,Lung,158,154,0.0,0.0,366210.0,0.0,0.0,0.0
94,2012Q1,S08000029,Lymphoma,26,26,0.0,0.0,366210.0,0.0,0.0,0.0
95,2012Q1,S08000029,Melanoma,18,18,0.0,0.0,366210.0,0.0,0.0,0.0
96,2012Q1,S08000029,Ovarian,12,10,0.0,0.0,366210.0,0.0,0.0,0.0
97,2012Q1,S08000029,Upper GI,62,62,0.0,0.0,366210.0,0.0,0.0,0.0
98,2012Q1,S08000029,Urological,208,198,0.0,0.0,366210.0,0.0,0.0,0.0
99,2012Q1,S08000030,Breast,212,212,0.0,0.0,411740.0,0.0,0.0,0.0
100,2012Q1,S08000030,Cervical,8,8,0.0,0.0,411740.0,0.0,0.0,0.0
101,2012Q1,S08000030,Colorectal,154,150,0.0,0.0,411740.0,0.0,0.0,0.0
102,2012Q1,S08000030,Head & Neck,42,42,0.0,0.0,411740.0,0.0,0.0,0.0
103,2012Q1,S08000030,Lung,116,116,0.0,0.0,411740.0,0.0,0.0,0.0
104,2012Q1,S08000030,Lymphoma,52,52,0.0,0.0,411740.0,0.0,0.0,0.0
105,2012Q1,S08000030,Melanoma,62,60,0.0,0.0,411740.0,0.0,0.0,0.0
106,2012Q1,S08000030,Ovarian,24,24,0.0,0.0,411740.0,0.0,0.0,0.0
107,2012Q1,S08000030,Upper GI,84,84,0.0,0.0,411740.0,0.0,0.0,0.0
108,2012Q1,S08000030,Urological,190,178,0.0,0.0,411740.0,0.0,0.0,0.0
109,2012Q1,S08000031,Breast,570,568,0.0,0.0,1137320.0,0.0,0.0,0.0
110,2012Q1,S08000031,Cervical,22,22,0.0,0.0,1137320.0,0.0,0.0,0.0
111,2012Q1,S08000031,Colorectal,368,348,0.0,0.0,1137320.0,0.0,0.0,0.0
112,2012Q1,S08000031,Head & Neck,146,138,0.0,0.0,1137320.0,0.0,0.0,0.0
113,2012Q1,S08000031,Lung,530,520,0.0,0.0,1137320.0,0.0,0.0,0.0
114,2012Q1,S08000031,Lymphoma,86,86,0.0,0.0,1137320.0,0.0,0.0,0.0
115,2012Q1,S08000031,Melanoma,150,150,0.0,0.0,1137320.0,0.0,0.0,0.0
116,2012Q1,S08000031,Ovarian,32,32,0.0,0.0,1137320.0,0.0,0.0,0.0
117,2012Q1,S08000031,Upper GI,338,332,0.0,0.0,1137320.0,0.0,0.0,0.0
118,2012Q1,S08000031,Urological,524,506,0.0,0.0,1137320.0,0.0,0.0,0.0
119,2012Q1,S08000032,Breast,142,142,0.0,0.0,652220.0,0.0,0.0,0.0
120,2012Q1,S08000032,Cervical,22,22,0.0,0.0,652220.0,0.0,0.0,0.0
121,2012Q1,S08000032,Colorectal,158,156,0.0,0.0,652220.0,0.0,0.0,0.0
122,2012Q1,S08000032,Head & Neck,38,38,0.0,0.0,652220.0,0.0,0.0,0.0
123,2012Q1,S08000032,Lung,230,226,0.0,0.0,652220.0,0.0,0.0,0.0
124,2012Q1,S08000032,Lymphoma,54,52,0.0,0.0,652220.0,0.0,0.0,0.0
125,2012Q1,S08000032,Melanoma,60,60,0.0,0.0,652220.0,0.0,0.0,0.0
126,2012Q1,S08000032,Ovarian,22,22,0.0,0.0,652220.0,0.0,0.0,0.0
127,2012Q1,S08000032,Upper GI,102,102,0.0,0.0,652220.0,0.0,0.0,0.0
128,2012Q1,S08000032,Urological,176,170,0.0,0.0,652220.0,0.0,0.0,0.0
129,2012Q2,S08000015,Breast,196,194,1.0,0.0,373220.0,0.0,0.0,0.0
130,2012Q2,S08000015,Cervical,14,14,1.0,0.0,373220.0,0.0,0.0,0.0
131,2012Q2,S08000015,Colorectal,110,104,1.0,0.0,373220.0,0.0,0.0,0.0
132,2012Q2,S08000015,Head & Neck,52,50,1.0,0.0,373220.0,0.0,0.0,0.0
133,2012Q2,S08000015,Lung,138,138,1.0,0.0,373220.0,0.0,0.0,0.0
134,2012Q2,S08000015,Lymphoma,42,42,1.0,0.0,373220.0,0.0,0.0,0.0
135,2012Q2,S08000015,Melanoma,24,24,1.0,0.0,373220.0,0.0,0.0,0.0
136,2012Q2,S08000015,Ovarian,24,24,1.0,0.0,373220.0,0.0,0.0,0.0
137,2012Q2,S08000015,Upper GI,98,98,1.0,0.0,373220.0,0.0,0.0,0.0
138,2012Q2,S08000015,Urological,126,126,1.0,0.0,373220.0,0.0,0.0,0.0
139,2012Q2,S08000016,Breast,24,24,1.0,0.0,113720.0,0.0,0.0,0.0
140,2012Q2,S08000016,Cervical,2,2,1.0,0.0,113720.0,0.0,0.0,0.0
141,2012Q2,S08000016,Colorectal,44,44,1.0,0.0,113720.0,0.0,0.0,0.0
142,2012Q2,S08000016,Head & Neck,8,6,1.0,0.0,113720.0,0.0,0.0,0.0
143,2012Q2,S08000016,Lung,30,30,1.0,0.0,113720.0,0.0,0.0,0.0
144,2012Q2,S08000016,Lymphoma,12,12,1.0,0.0,113720.0,0.0,0.0,0.0
145,2012Q2,S08000016,Melanoma,28,28,1.0,0.0,113720.0,0.0,0.0,0.0
146,2012Q2,S08000016,Ovarian,12,12,1.0,0.0,113720.0,0.0,0.0,0.0
147,2012Q2,S08000016,Upper GI,42,42,1.0,0.0,113720.0,0.0,0.0,0.0
148,2012Q2,S08000016,Urological,68,66,1.0,0.0,113720.0,0.0,0.0,0.0
149,2012Q2,S08000017,Breast,40,40,1.0,0.0,150840.0,0.0,0.0,0.0
150,2012Q2,S08000017,Cervical,2,0,1.0,0.0,150840.0,0.0,0.0,0.0
151,2012Q2,S08000017,Colorectal,72,70,1.0,0.0,150840.0,0.0,0.0,0.0
152,2012Q2,S08000017,Head & Neck,16,16,1.0,0.0,150840.0,0.0,0.0,0.0
153,2012Q2,S08000017,Lung,86,86,1.0,0.0,150840.0,0.0,0.0,0.0
154,2012Q2,S08000017,Lymphoma,20,20,1.0,0.0,150840.0,0.0,0.0,0.0
155,2012Q2,S08000017,Melanoma,8,8,1.0,0.0,150840.0,0.0,0.0,0.0
156,2012Q2,S08000017,Ovarian,4,4,1.0,0.0,150840.0,0.0,0.0,0.0
157,2012Q2,S08000017,Upper GI,32,32,1.0,0.0,150840.0,0.0,0.0,0.0
158,2012Q2,S08000017,Urological,76,74,1.0,0.0,150840.0,0.0,0.0,0.0
159,2012Q2,S08000019,Breast,114,114,1.0,0.0,299090.0,0.0,0.0,0.0
160,2012Q2,S08000019,Cervical,4,4,1.0,0.0,299090.0,0.0,0.0,0.0
161,2012Q2,S08000019,Colorectal,110,106,1.0,0.0,299090.0,0.0,0.0,0.0
162,2012Q2,S08000019,Head & Neck,32,32,1.0,0.0,299090.0,0.0,0.0,0.0
163,2012Q2,S08000019,Lung,100,100,1.0,0.0,299090.0,0.0,0.0,0.0
164,2012Q2,S08000019,Lymphoma,24,24,1.0,0.0,299090.0,0.0,0.0,0.0
165,2012Q2,S08000019,Melanoma,14,14,1.0,0.0,299090.0,0.0,0.0,0.0
166,2012Q2,S08000019,Ovarian,8,8,1.0,0.0,299090.0,0.0,0.0,0.0
167,2012Q2,S08000019,Upper GI,58,58,1.0,0.0,299090.0,0.0,0.0,0.0
168,2012Q2,S08000019,Urological,120,94,1.0,0.0,299090.0,0.0,0.0,0.0
169,2012Q2,S08000020,Breast,200,200,1.0,0.0,573400.0,0.0,0.0,0.0
170,2012Q2,S08000020,Cervical,14,14,1.0,0.0,573400.0,0.0,0.0,0.0
171,2012Q2,S08000020,Colorectal,192,192,1.0,0.0,573400.0,0.0,0.0,0.0
172,2012Q2,S08000020,Head & Neck,44,42,1.0,0.0,573400.0,0.0,0.0,0.0
173,2012Q2,S08000020,Lung,136,136,1.0,0.0,573400.0,0.0,0.0,0.0
174,2012Q2,S08000020,Lymphoma,76,74,1.0,0.0,573400.0,0.0,0.0,0.0
175,2012Q2,S08000020,Melanoma,48,48,1.0,0.0,573400.0,0.0,0.0,0.0
176,2012Q2,S08000020,Ovarian,18,18,1.0,0.0,573400.0,0.0,0.0,0.0
177,2012Q2,S08000020,Upper GI,106,106,1.0,0.0,573400.0,0.0,0.0,0.0
178,2012Q2,S08000020,Urological,254,246,1.0,0.0,573400.0,0.0,0.0,0.0
179,2012Q2,S08000022,Breast,120,120,1.0,0.0,319800.0,0.0,0.0,0.0
180,2012Q2,S08000022,Cervical,8,8,1.0,0.0,319800.0,0.0,0.0,0.0
181,2012Q2,S08000022,Colorectal,92,92,1.0,0.0,319800.0,0.0,0.0,0.0
182,2012Q2,S08000022,Head & Neck,26,24,1.0,0.0,319800.0,0.0,0.0,0.0
183,2012Q2,S08000022,Lung,118,118,1.0,0.0,319800.0,0.0,0.0,0.0
184,2012Q2,S08000022,Lymphoma,34,34,1.0,0.0,319800.0,0.0,0.0,0.0
185,2012Q2,S08000022,Melanoma,20,20,1.0,0.0,319800.0,0.0,0.0,0.0
186,2012Q2,S08000022,Ovarian,14,12,1.0,0.0,319800.0,0.0,0.0,0.0
187,2012Q2,S08000022,Upper GI,62,62,1.0,0.0,319800.0,0.0,0.0,0.0
188,2012Q2,S08000022,Urological,120,106,1.0,0.0,319800.0,0.0,0.0,0.0
189,2012Q2,S08000024,Breast,414,414,1.0,0.0,843740.0,0.0,0.0,0.0
190,2012Q2,S08000024,Cervical,10,6,1.0,0.0,843740.0,0.0,0.0,0.0
191,2012Q2,S08000024,Colorectal,238,216,1.0,0.0,843740.0,0.0,0.0,0.0
192,2012Q2,S08000024,Head & Neck,110,108,1.0,0.0,843740.0,0.0,0.0,0.0
193,2012Q2,S08000024,Lung,324,324,1.0,0.0,843740.0,0.0,0.0,0.0
194,2012Q2,S08000024,Lymphoma,74,74,1.0,0.0,843740.0,0.0,0.0,0.0
195,2012Q2,S08000024,Melanoma,98,98,1.0,0.0,843740.0,0.0,0.0,0.0
196,2012Q2,S08000024,Ovarian,54,48,1.0,0.0,843740.0,0.0,0.0,0.0
197,2012Q2,S08000024,Upper GI,160,160,1.0,0.0,843740.0,0.0,0.0,0.0
198,2012Q2,S08000024,Urological,290,268,1.0,0.0,843740.0,0.0,0.0,0.0
199,2012Q2,S08000025,Breast,4,4,1.0,0.0,21530.0,0.0,0.0,0.0
200,2012Q2,S08000025,Colorectal,2,2,1.0,0.0,21530.0,0.0,0.0,0.0
201,2012Q2,S08000025,Lymphoma,4,4,1.0,0.0,21530.0,0.0,0.0,0.0
202,2012Q2,S08000025,Upper GI,4,4,1.0,0.0,21530.0,0.0,0.0,0.0
203,2012Q2,S08000025,Urological,4,4,1.0,0.0,21530.0,0.0,0.0,0.0
204,2012Q2,S08000026,Breast,2,2,1.0,0.0,23210.0,0.0,0.0,0.0
205,2012Q2,S08000026,Colorectal,4,4,1.0,0.0,23210.0,0.0,0.0,0.0
206,2012Q2,S08000026,Head & Neck,2,2,1.0,0.0,23210.0,0.0,0.0,0.0
207,2012Q2,S08000026,Lymphoma,2,2,1.0,0.0,23210.0,0.0,0.0,0.0
208,2012Q2,S08000026,Melanoma,2,2,1.0,0.0,23210.0,0.0,0.0,0.0
209,2012Q2,S08000026,Ovarian,2,2,1.0,0.0,23210.0,0.0,0.0,0.0
210,2012Q2,S08000026,Upper GI,4,4,1.0,0.0,23210.0,0.0,0.0,0.0
211,2012Q2,S08000026,Urological,18,18,1.0,0.0,23210.0,0.0,0.0,0.0
212,2012Q2,S08000028,Colorectal,16,16,1.0,0.0,27560.0,0.0,0.0,0.0
213,2012Q2,S08000028,Head & Neck,2,2,1.0,0.0,27560.0,0.0,0.0,0.0
214,2012Q2,S08000028,Lung,6,6,1.0,0.0,27560.0,0.0,0.0,0.0
215,2012Q2,S08000028,Ovarian,4,4,1.0,0.0,27560.0,0.0,0.0,0.0
216,2012Q2,S08000028,Upper GI,6,6,1.0,0.0,27560.0,0.0,0.0,0.0
217,2012Q2,S08000028,Urological,8,8,1.0,0.0,27560.0,0.0,0.0,0.0
218,2012Q2,S08000029,Breast,72,72,1.0,0.0,366210.0,0.0,0.0,0.0
219,2012Q2,S08000029,Cervical,6,6,1.0,0.0,366210.0,0.0,0.0,0.0
220,2012Q2,S08000029,Colorectal,102,102,1.0,0.0,366210.0,0.0,0.0,0.0
221,2012Q2,S08000029,Head & Neck,58,58,1.0,0.0,366210.0,0.0,0.0,0.0
222,2012Q2,S08000029,Lung,122,122,1.0,0.0,366210.0,0.0,0.0,0.0
223,2012Q2,S08000029,Lymphoma,32,32,1.0,0.0,366210.0,0.0,0.0,0.0
224,2012Q2,S08000029,Melanoma,32,32,1.0,0.0,366210.0,0.0,0.0,0.0
225,2012Q2,S08000029,Ovarian,12,10,1.0,0.0,366210.0,0.0,0.0,0.0
226,2012Q2,S08000029,Upper GI,82,82,1.0,0.0,366210.0,0.0,0.0,0.0
227,2012Q2,S08000029,Urological,160,148,1.0,0.0,366210.0,0.0,0.0,0.0
228,2012Q2,S08000030,Breast,212,212,1.0,0.0,411740.0,0.0,0.0,0.0
229,2012Q2,S08000030,Cervical,10,10,1.0,0.0,411740.0,0.0,0.0,0.0
230,2012Q2,S08000030,Colorectal,136,136,1.0,0.0,411740.0,0.0,0.0,0.0
231,2012Q2,S08000030,Head & Neck,52,52,1.0,0.0,411740.0,0.0,0.0,0.0
232,2012Q2,S08000030,Lung,156,156,1.0,0.0,411740.0,0.0,0.0,0.0
233,2012Q2,S08000030,Lymphoma,34,34,1.0,0.0,411740.0,0.0,0.0,0.0
234,2012Q2,S08000030,Melanoma,78,72,1.0,0.0,411740.0,0.0,0.0,0.0
235,2012Q2,S08000030,Ovarian,22,22,1.0,0.0,411740.0,0.0,0.0,0.0
236,2012Q2,S08000030,Upper GI,110,108,1.0,0.0,411740.0,0.0,0.0,0.0
237,2012Q2,S08000030,Urological,186,178,1.0,0.0,411740.0,0.0,0.0,0.0
238,2012Q2,S08000031,Breast,650,648,1.0,0.0,1137320.0,0.0,0.0,0.0
239,2012Q2,S08000031,Cervical,8,8,1.0,0.0,1137320.0,0.0,0.0,0.0
240,2012Q2,S08000031,Colorectal,440,428,1.0,0.0,1137320.0,0.0,0.0,0.0
241,2012Q2,S08000031,Head & Neck,168,164,1.0,0.0,1137320.0,0.0,0.0,0.0
242,2012Q2,S08000031,Lung,628,624,1.0,0.0,1137320.0,0.0,0.0,0.0
243,2012Q2,S08000031,Lymphoma,110,110,1.0,0.0,1137320.0,0.0,0.0,0.0
244,2012Q2,S08000031,Melanoma,172,172,1.0,0.0,1137320.0,0.0,0.0,0.0
245,2012Q2,S08000031,Ovarian,20,20,1.0,0.0,1137320.0,0.0,0.0,0.0
246,2012Q2,S08000031,Upper GI,254,252,1.0,0.0,1137320.0,0.0,0.0,0.0
247,2012Q2,S08000031,Urological,524,506,1.0,0.0,1137320.0,0.0,0.0,0.0
248,2012Q2,S08000032,Breast,170,170,1.0,0.0,652220.0,0.0,0.0,0.0
249,2012Q2,S08000032,Cervical,14,14,1.0,0.0,652220.0,0.0,0.0,0.0
250,2012Q2,S08000032,Colorectal,164,162,1.0,0.0,652220.0,0.0,0.0,0.0
251,2012Q2,S08000032,Head & Neck,60,60,1.0,0.0,652220.0,0.0,0.0,0.0
252,2012Q2,S08000032,Lung,226,224,1.0,0.0,652220.0,0.0,0.0,0.0
253,2012Q2,S08000032,Lymphoma,54,54,1.0,0.0,652220.0,0.0,0.0,0.0
254,2012Q2,S08000032,Melanoma,54,52,1.0,0.0,652220.0,0.0,0.0,0.0
255,2012Q2,S08000032,Ovarian,10,10,1.0,0.0,652220.0,0.0,0.0,0.0
256,2012Q2,S08000032,Upper GI,98,98,1.0,0.0,652220.0,0.0,0.0,0.0
257,2012Q2,S08000032,Urological,170,166,1.0,0.0,652220.0,0.0,0.0,0.0
258,2012Q3,S08000015,Breast,210,210,2.0,0.0,373220.0,0.0,0.0,0.0
259,2012Q3,S08000015,Cervical,12,12,2.0,0.0,373220.0,0.0,0.0,0.0
260,2012Q3,S08000015,Colorectal,120,118,2.0,0.0,373220.0,0.0,0.0,0.0
261,2012Q3,S08000015,Head & Neck,58,58,2.0,0.0,373220.0,0.0,0.0,0.0
262,2012Q3,S08000015,Lung,156,156,2.0,0.0,373220.0,0.0,0.0,0.0
263,2012Q3,S08000015,Lymphoma,24,24,2.0,0.0,373220.0,0.0,0.0,0.0
264,2012Q3,S08000015,Melanoma,58,58,2.0,0.0,373220.0,0.0,0.0,0.0
265,2012Q3,S08000015,Ovarian,40,40,2.0,0.0,373220.0,0.0,0.0,0.0
266,2012Q3,S08000015,Upper GI,78,78,2.0,0.0,373220.0,0.0,0.0,0.0
267,2012Q3,S08000015,Urological,156,148,2.0,0.0,373220.0,0.0,0.0,0.0
268,2012Q3,S08000016,Breast,34,34,2.0,0.0,113720.0,0.0,0.0,0.0
269,2012Q3,S08000016,Cervical,4,4,2.0,0.0,113720.0,0.0,0.0,0.0
270,2012Q3,S08000016,Colorectal,38,38,2.0,0.0,113720.0,0.0,0.0,0.0
271,2012Q3,S08000016,Head & Neck,14,14,2.0,0.0,113720.0,0.0,0.0,0.0
272,2012Q3,S08000016,Lung,36,36,2.0,0.0,113720.0,0.0,0.0,0.0
273,2012Q3,S08000016,Lymphoma,22,22,2.0,0.0,113720.0,0.0,0.0,0.0
274,2012Q3,S08000016,Melanoma,6,6,2.0,0.0,113720.0,0.0,0.0,0.0
275,2012Q3,S08000016,Ovarian,12,12,2.0,0.0,113720.0,0.0,0.0,0.0
276,2012Q3,S08000016,Upper GI,26,26,2.0,0.0,113720.0,0.0,0.0,0.0
277,2012Q3,S08000016,Urological,72,72,2.0,0.0,113720.0,0.0,0.0,0.0
278,2012Q3,S08000017,Breast,62,62,2.0,0.0,150840.0,0.0,0.0,0.0
279,2012Q3,S08000017,Cervical,8,8,2.0,0.0,150840.0,0.0,0.0,0.0
280,2012Q3,S08000017,Colorectal,72,72,2.0,0.0,150840.0,0.0,0.0,0.0
281,2012Q3,S08000017,Head & Neck,12,12,2.0,0.0,150840.0,0.0,0.0,0.0
282,2012Q3,S08000017,Lung,38,38,2.0,0.0,150840.0,0.0,0.0,0.0
283,2012Q3,S08000017,Lymphoma,18,18,2.0,0.0,150840.0,0.0,0.0,0.0
284,2012Q3,S08000017,Melanoma,28,26,2.0,0.0,150840.0,0.0,0.0,0.0
285,2012Q3,S08000017,Ovarian,10,10,2.0,0.0,150840.0,0.0,0.0,0.0
286,2012Q3,S08000017,Upper GI,40,40,2.0,0.0,150840.0,0.0,0.0,0.0
287,2012Q3,S08000017,Urological,98,96,2.0,0.0,150840.0,0.0,0.0,0.0
288,2012Q3,S08000019,Breast,94,94,2.0,0.0,299090.0,0.0,0.0,0.0
289,2012Q3,S08000019,Cervical,6,6,2.0,0.0,299090.0,0.0,0.0,0.0
